1,2,3,4,5,6,7,8
,,,,,0.14616402116402116,,
,,,0.09,,,,
,,,0.1125,,,,
-0.125,,,,,,,
-0.125,,,,,,,
-0.04374999999999998,,,,,,,
-0.04374999999999998,,,,,,,
0.23358630952380952,,,,,,,
0.03222222222222223,,,,,,,
,,0.3833333333333333,,,,,
,,0.4222222222222222,,,,,
,,,,0.4222222222222222,,,
,,,,0.48333333333333334,,,
,,,,-0.006249999999999999,,,
,,,,0.16999999999999998,,,
,,,0.13999999999999999,,,,
,,0.13999999999999999,,,,,
,,,0.20000000000000004,,,,
,,0.20000000000000004,,,,,
0.20000000000000004,,,,,,,
,,,,,,0.0,
,,,,,,1.0,
0.2,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
,,,,,,,0.14375
0.125,,,,,,,
0.125,,,,,,,
0.056249999999999994,,,,,,,
0.056249999999999994,,,,,,,
,,,,,0.18010204081632653,,
,,,,,0.14616402116402116,,
,,,0.09,,,,
,,,0.1125,,,,
-0.125,,,,,,,
-0.125,,,,,,,
-0.04374999999999998,,,,,,,
-0.04374999999999998,,,,,,,
0.23358630952380952,,,,,,,
0.03222222222222223,,,,,,,
,,0.3833333333333333,,,,,
,,0.4222222222222222,,,,,
,,,,0.4222222222222222,,,
,,,,0.48333333333333334,,,
,,,,-0.006249999999999999,,,
,,,,0.16999999999999998,,,
,,,0.13999999999999999,,,,
,,0.13999999999999999,,,,,
,,,0.20000000000000004,,,,
,,0.20000000000000004,,,,,
0.20000000000000004,,,,,,,
,,,,,,0.0,
,,,,,,1.0,
0.2,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
,,,,,,,0.14375
0.125,,,,,,,
0.125,,,,,,,
0.056249999999999994,,,,,,,
0.056249999999999994,,,,,,,
,,,,,0.18010204081632653,,
,,,,,0.14616402116402116,,
,,,0.09,,,,
,,,0.1125,,,,
-0.125,,,,,,,
-0.125,,,,,,,
-0.04374999999999998,,,,,,,
-0.04374999999999998,,,,,,,
0.23358630952380952,,,,,,,
0.03222222222222223,,,,,,,
,,0.3833333333333333,,,,,
,,0.4222222222222222,,,,,
,,,,0.4222222222222222,,,
,,,,0.48333333333333334,,,
,,,,-0.006249999999999999,,,
,,,,0.16999999999999998,,,
,,,0.13999999999999999,,,,
,,0.13999999999999999,,,,,
,,,0.20000000000000004,,,,
,,0.20000000000000004,,,,,
0.20000000000000004,,,,,,,
,,,,,,0.0,
,,,,,,1.0,
0.2,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
,,,,,,,0.14375
0.125,,,,,,,
0.125,,,,,,,
0.056249999999999994,,,,,,,
0.056249999999999994,,,,,,,
,,,,,0.18010204081632653,,
,,,,,0.14616402116402116,,
,,,0.09,,,,
,,,0.1125,,,,
-0.125,,,,,,,
-0.125,,,,,,,
-0.04374999999999998,,,,,,,
-0.04374999999999998,,,,,,,
0.23358630952380952,,,,,,,
0.03222222222222223,,,,,,,
,,0.3833333333333333,,,,,
,,0.4222222222222222,,,,,
,,,,0.4222222222222222,,,
,,,,0.48333333333333334,,,
,,,,-0.006249999999999999,,,
,,,,0.16999999999999998,,,
,,,0.13999999999999999,,,,
,,0.13999999999999999,,,,,
,,,0.20000000000000004,,,,
,,0.20000000000000004,,,,,
0.20000000000000004,,,,,,,
,,,,,,0.0,
,,,,,,1.0,
0.2,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
,,,,,,,0.14375
0.125,,,,,,,
0.125,,,,,,,
0.056249999999999994,,,,,,,
0.056249999999999994,,,,,,,
,,,,,0.18010204081632653,,
,,,,,0.14616402116402116,,
,,,0.09,,,,
,,,0.1125,,,,
-0.125,,,,,,,
-0.125,,,,,,,
-0.04374999999999998,,,,,,,
-0.04374999999999998,,,,,,,
0.23358630952380952,,,,,,,
0.03222222222222223,,,,,,,
,,0.3833333333333333,,,,,
,,0.4222222222222222,,,,,
,,,,0.4222222222222222,,,
,,,,0.48333333333333334,,,
,,,,-0.006249999999999999,,,
,,,,0.16999999999999998,,,
,,,0.13999999999999999,,,,
,,0.13999999999999999,,,,,
,,,0.20000000000000004,,,,
,,0.20000000000000004,,,,,
0.20000000000000004,,,,,,,
,,,,,,0.0,
,,,,,,1.0,
0.2,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
,,,,,,,0.14375
0.125,,,,,,,
0.125,,,,,,,
0.056249999999999994,,,,,,,
0.056249999999999994,,,,,,,
,,,,,0.18010204081632653,,
,,,,,0.14616402116402116,,
,,,0.09,,,,
,,,0.1125,,,,
-0.125,,,,,,,
-0.125,,,,,,,
-0.04374999999999998,,,,,,,
-0.04374999999999998,,,,,,,
0.23358630952380952,,,,,,,
0.03222222222222223,,,,,,,
,,0.3833333333333333,,,,,
,,0.4222222222222222,,,,,
,,,,0.4222222222222222,,,
,,,,0.48333333333333334,,,
,,,,-0.006249999999999999,,,
,,,,0.16999999999999998,,,
,,,0.13999999999999999,,,,
,,0.13999999999999999,,,,,
,,,0.20000000000000004,,,,
,,0.20000000000000004,,,,,
0.20000000000000004,,,,,,,
,,,,,,0.0,
,,,,,,1.0,
0.2,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
,,,,,,,0.14375
0.125,,,,,,,
0.125,,,,,,,
0.056249999999999994,,,,,,,
0.056249999999999994,,,,,,,
,,,,,0.18010204081632653,,
,,,,,0.14616402116402116,,
,,,0.09,,,,
,,,0.1125,,,,
-0.125,,,,,,,
-0.125,,,,,,,
-0.04374999999999998,,,,,,,
-0.04374999999999998,,,,,,,
0.23358630952380952,,,,,,,
0.03222222222222223,,,,,,,
,,0.3833333333333333,,,,,
,,0.4222222222222222,,,,,
,,,,0.4222222222222222,,,
,,,,0.48333333333333334,,,
,,,,-0.006249999999999999,,,
,,,,0.16999999999999998,,,
,,,0.13999999999999999,,,,
,,0.13999999999999999,,,,,
,,,0.20000000000000004,,,,
,,0.20000000000000004,,,,,
0.20000000000000004,,,,,,,
,,,,,,0.0,
,,,,,,1.0,
0.2,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
,,,,,,,0.14375
0.125,,,,,,,
0.125,,,,,,,
0.056249999999999994,,,,,,,
0.056249999999999994,,,,,,,
,,,,,0.18010204081632653,,
,,,,,0.14616402116402116,,
,,,0.09,,,,
,,,0.1125,,,,
-0.125,,,,,,,
-0.125,,,,,,,
-0.04374999999999998,,,,,,,
-0.04374999999999998,,,,,,,
0.23358630952380952,,,,,,,
0.03222222222222223,,,,,,,
,,0.3833333333333333,,,,,
,,0.4222222222222222,,,,,
,,,,0.4222222222222222,,,
,,,,0.48333333333333334,,,
,,,,-0.006249999999999999,,,
,,,,0.16999999999999998,,,
,,,0.13999999999999999,,,,
,,0.13999999999999999,,,,,
,,,0.20000000000000004,,,,
,,0.20000000000000004,,,,,
0.20000000000000004,,,,,,,
,,,,,,0.0,
,,,,,,1.0,
0.2,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
,,,,,,,0.14375
0.125,,,,,,,
0.125,,,,,,,
0.056249999999999994,,,,,,,
0.056249999999999994,,,,,,,
,,,,,0.18010204081632653,,
,,,,,0.14616402116402116,,
,,,0.09,,,,
,,,0.1125,,,,
-0.125,,,,,,,
-0.125,,,,,,,
-0.04374999999999998,,,,,,,
-0.04374999999999998,,,,,,,
0.23358630952380952,,,,,,,
0.03222222222222223,,,,,,,
,,0.3833333333333333,,,,,
,,0.4222222222222222,,,,,
,,,,0.4222222222222222,,,
,,,,0.48333333333333334,,,
,,,,-0.006249999999999999,,,
,,,,0.16999999999999998,,,
,,,0.13999999999999999,,,,
,,0.13999999999999999,,,,,
,,,0.20000000000000004,,,,
,,0.20000000000000004,,,,,
0.20000000000000004,,,,,,,
,,,,,,0.0,
,,,,,,1.0,
0.2,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
,,,,,,,0.14375
0.125,,,,,,,
0.125,,,,,,,
0.056249999999999994,,,,,,,
0.056249999999999994,,,,,,,
,,,,,0.18010204081632653,,
,,,,,0.14616402116402116,,
,,,0.09,,,,
,,,0.1125,,,,
-0.125,,,,,,,
-0.125,,,,,,,
-0.04374999999999998,,,,,,,
-0.04374999999999998,,,,,,,
0.23358630952380952,,,,,,,
0.03222222222222223,,,,,,,
,,0.3833333333333333,,,,,
,,0.4222222222222222,,,,,
,,,,0.4222222222222222,,,
,,,,0.48333333333333334,,,
,,,,-0.006249999999999999,,,
,,,,0.16999999999999998,,,
,,,0.13999999999999999,,,,
,,0.13999999999999999,,,,,
,,,0.20000000000000004,,,,
,,0.20000000000000004,,,,,
0.20000000000000004,,,,,,,
,,,,,,0.0,
,,,,,,1.0,
0.2,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
,,,,,,,0.14375
0.125,,,,,,,
0.125,,,,,,,
0.056249999999999994,,,,,,,
0.056249999999999994,,,,,,,
,,,,,0.18010204081632653,,
,,,,,0.14616402116402116,,
,,,0.09,,,,
,,,0.1125,,,,
-0.125,,,,,,,
-0.125,,,,,,,
-0.04374999999999998,,,,,,,
-0.04374999999999998,,,,,,,
0.23358630952380952,,,,,,,
0.03222222222222223,,,,,,,
,,0.3833333333333333,,,,,
,,0.4222222222222222,,,,,
,,,,0.4222222222222222,,,
,,,,0.48333333333333334,,,
,,,,-0.006249999999999999,,,
,,,,0.16999999999999998,,,
,,,0.13999999999999999,,,,
,,0.13999999999999999,,,,,
,,,0.20000000000000004,,,,
,,0.20000000000000004,,,,,
0.20000000000000004,,,,,,,
,,,,,,0.0,
,,,,,,1.0,
0.2,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
,,,,,,,0.14375
0.125,,,,,,,
0.125,,,,,,,
0.056249999999999994,,,,,,,
0.056249999999999994,,,,,,,
,,,,,0.18010204081632653,,
,,,,,0.14616402116402116,,
,,,0.09,,,,
,,,0.1125,,,,
-0.125,,,,,,,
-0.125,,,,,,,
-0.04374999999999998,,,,,,,
-0.04374999999999998,,,,,,,
0.23358630952380952,,,,,,,
0.03222222222222223,,,,,,,
,,0.3833333333333333,,,,,
,,0.4222222222222222,,,,,
,,,,0.4222222222222222,,,
,,,,0.48333333333333334,,,
,,,,-0.006249999999999999,,,
,,,,0.16999999999999998,,,
,,,0.13999999999999999,,,,
,,0.13999999999999999,,,,,
,,,0.20000000000000004,,,,
,,0.20000000000000004,,,,,
0.20000000000000004,,,,,,,
,,,,,,0.0,
,,,,,,1.0,
0.2,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
,,,,,,,0.14375
0.125,,,,,,,
0.125,,,,,,,
0.056249999999999994,,,,,,,
0.056249999999999994,,,,,,,
,,,,,0.18010204081632653,,
,,,,,0.14616402116402116,,
,,,0.09,,,,
,,,0.1125,,,,
-0.125,,,,,,,
-0.125,,,,,,,
-0.04374999999999998,,,,,,,
-0.04374999999999998,,,,,,,
0.23358630952380952,,,,,,,
0.03222222222222223,,,,,,,
,,0.3833333333333333,,,,,
,,0.4222222222222222,,,,,
,,,,0.4222222222222222,,,
,,,,0.48333333333333334,,,
,,,,-0.006249999999999999,,,
,,,,0.16999999999999998,,,
,,,0.13999999999999999,,,,
,,0.13999999999999999,,,,,
,,,0.20000000000000004,,,,
,,0.20000000000000004,,,,,
0.20000000000000004,,,,,,,
,,,,,,0.0,
,,,,,,1.0,
0.2,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
,,,,,,,0.14375
0.125,,,,,,,
0.125,,,,,,,
0.056249999999999994,,,,,,,
0.056249999999999994,,,,,,,
,,,,,0.18010204081632653,,
,,,,,0.14616402116402116,,
,,,0.09,,,,
,,,0.1125,,,,
-0.125,,,,,,,
-0.125,,,,,,,
-0.04374999999999998,,,,,,,
-0.04374999999999998,,,,,,,
0.23358630952380952,,,,,,,
0.03222222222222223,,,,,,,
,,0.3833333333333333,,,,,
,,0.4222222222222222,,,,,
,,,,0.4222222222222222,,,
,,,,0.48333333333333334,,,
,,,,-0.006249999999999999,,,
,,,,0.16999999999999998,,,
,,,0.13999999999999999,,,,
,,0.13999999999999999,,,,,
,,,0.20000000000000004,,,,
,,0.20000000000000004,,,,,
0.20000000000000004,,,,,,,
,,,,,,0.0,
,,,,,,1.0,
0.2,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
,,,,,,,0.14375
0.125,,,,,,,
0.125,,,,,,,
0.056249999999999994,,,,,,,
0.056249999999999994,,,,,,,
,,,,,0.18010204081632653,,
,,,,,0.14616402116402116,,
,,,0.09,,,,
,,,0.1125,,,,
-0.125,,,,,,,
-0.125,,,,,,,
-0.04374999999999998,,,,,,,
-0.04374999999999998,,,,,,,
0.23358630952380952,,,,,,,
0.03222222222222223,,,,,,,
,,0.3833333333333333,,,,,
,,0.4222222222222222,,,,,
,,,,0.4222222222222222,,,
,,,,0.48333333333333334,,,
,,,,-0.006249999999999999,,,
,,,,0.16999999999999998,,,
,,,0.13999999999999999,,,,
,,0.13999999999999999,,,,,
,,,0.20000000000000004,,,,
,,0.20000000000000004,,,,,
0.20000000000000004,,,,,,,
,,,,,,0.0,
,,,,,,1.0,
0.2,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
,,,,,,,0.14375
0.125,,,,,,,
0.125,,,,,,,
0.056249999999999994,,,,,,,
0.056249999999999994,,,,,,,
,,,,,0.18010204081632653,,
,,,,,0.14616402116402116,,
,,,0.09,,,,
,,,0.1125,,,,
-0.125,,,,,,,
-0.125,,,,,,,
-0.04374999999999998,,,,,,,
-0.04374999999999998,,,,,,,
0.23358630952380952,,,,,,,
0.03222222222222223,,,,,,,
,,0.3833333333333333,,,,,
,,0.4222222222222222,,,,,
,,,,0.4222222222222222,,,
,,,,0.48333333333333334,,,
,,,,-0.006249999999999999,,,
,,,,0.16999999999999998,,,
,,,0.13999999999999999,,,,
,,0.13999999999999999,,,,,
,,,0.20000000000000004,,,,
,,0.20000000000000004,,,,,
0.20000000000000004,,,,,,,
,,,,,,0.0,
,,,,,,1.0,
0.2,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
,,,,,,,0.14375
0.125,,,,,,,
0.125,,,,,,,
0.056249999999999994,,,,,,,
0.056249999999999994,,,,,,,
,,,,,0.18010204081632653,,
,,,,,0.14616402116402116,,
,,,0.09,,,,
,,,0.1125,,,,
-0.125,,,,,,,
-0.125,,,,,,,
-0.04374999999999998,,,,,,,
-0.04374999999999998,,,,,,,
0.23358630952380952,,,,,,,
0.03222222222222223,,,,,,,
,,0.3833333333333333,,,,,
,,0.4222222222222222,,,,,
,,,,0.4222222222222222,,,
,,,,0.48333333333333334,,,
,,,,-0.006249999999999999,,,
,,,,0.16999999999999998,,,
,,,0.13999999999999999,,,,
,,0.13999999999999999,,,,,
,,,0.20000000000000004,,,,
,,0.20000000000000004,,,,,
0.20000000000000004,,,,,,,
,,,,,,0.0,
,,,,,,1.0,
0.2,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
,,,,,,,0.14375
0.125,,,,,,,
0.125,,,,,,,
0.056249999999999994,,,,,,,
0.056249999999999994,,,,,,,
,,,,,0.18010204081632653,,
,,,,,0.14616402116402116,,
,,,0.09,,,,
,,,0.1125,,,,
-0.125,,,,,,,
-0.125,,,,,,,
-0.04374999999999998,,,,,,,
-0.04374999999999998,,,,,,,
0.23358630952380952,,,,,,,
0.03222222222222223,,,,,,,
,,0.3833333333333333,,,,,
,,0.4222222222222222,,,,,
,,,,0.4222222222222222,,,
,,,,0.48333333333333334,,,
,,,,-0.006249999999999999,,,
,,,,0.16999999999999998,,,
,,,0.13999999999999999,,,,
,,0.13999999999999999,,,,,
,,,0.20000000000000004,,,,
,,0.20000000000000004,,,,,
0.20000000000000004,,,,,,,
,,,,,,0.0,
,,,,,,1.0,
0.2,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
,,,,,,,0.14375
0.125,,,,,,,
0.125,,,,,,,
0.056249999999999994,,,,,,,
0.056249999999999994,,,,,,,
,,,,,0.18010204081632653,,
,,,,,0.14616402116402116,,
,,,0.09,,,,
,,,0.1125,,,,
-0.125,,,,,,,
-0.125,,,,,,,
-0.04374999999999998,,,,,,,
-0.04374999999999998,,,,,,,
0.23358630952380952,,,,,,,
0.03222222222222223,,,,,,,
,,0.3833333333333333,,,,,
,,0.4222222222222222,,,,,
,,,,0.4222222222222222,,,
,,,,0.48333333333333334,,,
,,,,-0.006249999999999999,,,
,,,,0.16999999999999998,,,
,,,0.13999999999999999,,,,
,,0.13999999999999999,,,,,
,,,0.20000000000000004,,,,
,,0.20000000000000004,,,,,
0.20000000000000004,,,,,,,
,,,,,,0.0,
,,,,,,1.0,
0.2,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
,,,,,,,0.14375
0.125,,,,,,,
0.125,,,,,,,
0.056249999999999994,,,,,,,
0.056249999999999994,,,,,,,
,,,,,0.18010204081632653,,
,,,,,0.14616402116402116,,
,,,0.09,,,,
,,,0.1125,,,,
-0.125,,,,,,,
-0.125,,,,,,,
-0.04374999999999998,,,,,,,
-0.04374999999999998,,,,,,,
0.23358630952380952,,,,,,,
0.03222222222222223,,,,,,,
,,0.3833333333333333,,,,,
,,0.4222222222222222,,,,,
,,,,0.4222222222222222,,,
,,,,0.48333333333333334,,,
,,,,-0.006249999999999999,,,
,,,,0.16999999999999998,,,
,,,0.13999999999999999,,,,
,,0.13999999999999999,,,,,
,,,0.20000000000000004,,,,
,,0.20000000000000004,,,,,
0.20000000000000004,,,,,,,
,,,,,,0.0,
,,,,,,1.0,
0.2,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
,,,,,,,0.14375
0.125,,,,,,,
0.125,,,,,,,
0.056249999999999994,,,,,,,
0.056249999999999994,,,,,,,
,,,,,0.18010204081632653,,
,,,,,0.14616402116402116,,
,,,0.09,,,,
,,,0.1125,,,,
-0.125,,,,,,,
-0.125,,,,,,,
-0.04374999999999998,,,,,,,
-0.04374999999999998,,,,,,,
0.23358630952380952,,,,,,,
0.03222222222222223,,,,,,,
,,0.3833333333333333,,,,,
,,0.4222222222222222,,,,,
,,,,0.4222222222222222,,,
,,,,0.48333333333333334,,,
,,,,-0.006249999999999999,,,
,,,,0.16999999999999998,,,
,,,0.13999999999999999,,,,
,,0.13999999999999999,,,,,
,,,0.20000000000000004,,,,
,,0.20000000000000004,,,,,
0.20000000000000004,,,,,,,
,,,,,,0.0,
,,,,,,1.0,
0.2,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
,,,,,,,0.14375
0.125,,,,,,,
0.125,,,,,,,
0.056249999999999994,,,,,,,
0.056249999999999994,,,,,,,
,,,,,0.18010204081632653,,
,,,,,0.14616402116402116,,
,,,0.09,,,,
,,,0.1125,,,,
-0.125,,,,,,,
-0.125,,,,,,,
-0.04374999999999998,,,,,,,
-0.04374999999999998,,,,,,,
0.23358630952380952,,,,,,,
0.03222222222222223,,,,,,,
,,0.3833333333333333,,,,,
,,0.4222222222222222,,,,,
,,,,0.4222222222222222,,,
,,,,0.48333333333333334,,,
,,,,-0.006249999999999999,,,
,,,,0.16999999999999998,,,
,,,0.13999999999999999,,,,
,,0.13999999999999999,,,,,
,,,0.20000000000000004,,,,
,,0.20000000000000004,,,,,
0.20000000000000004,,,,,,,
,,,,,,0.0,
,,,,,,1.0,
0.2,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
,,,,,,,0.14375
0.125,,,,,,,
0.125,,,,,,,
0.056249999999999994,,,,,,,
0.056249999999999994,,,,,,,
,,,,,0.18010204081632653,,
,,,,,0.14616402116402116,,
,,,0.09,,,,
,,,0.1125,,,,
-0.125,,,,,,,
-0.125,,,,,,,
-0.04374999999999998,,,,,,,
-0.04374999999999998,,,,,,,
0.23358630952380952,,,,,,,
0.03222222222222223,,,,,,,
,,0.3833333333333333,,,,,
,,0.4222222222222222,,,,,
,,,,0.4222222222222222,,,
,,,,0.48333333333333334,,,
,,,,-0.006249999999999999,,,
,,,,0.16999999999999998,,,
,,,0.13999999999999999,,,,
,,0.13999999999999999,,,,,
,,,0.20000000000000004,,,,
,,0.20000000000000004,,,,,
0.20000000000000004,,,,,,,
,,,,,,0.0,
,,,,,,1.0,
0.2,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
,,,,,,,0.14375
0.125,,,,,,,
0.125,,,,,,,
0.056249999999999994,,,,,,,
0.056249999999999994,,,,,,,
,,,,,0.18010204081632653,,
,,,,,0.14616402116402116,,
,,,0.09,,,,
,,,0.1125,,,,
-0.125,,,,,,,
-0.125,,,,,,,
-0.04374999999999998,,,,,,,
-0.04374999999999998,,,,,,,
0.23358630952380952,,,,,,,
0.03222222222222223,,,,,,,
,,0.3833333333333333,,,,,
,,0.4222222222222222,,,,,
,,,,0.4222222222222222,,,
,,,,0.48333333333333334,,,
,,,,-0.006249999999999999,,,
,,,,0.16999999999999998,,,
,,,0.13999999999999999,,,,
,,0.13999999999999999,,,,,
,,,0.20000000000000004,,,,
,,0.20000000000000004,,,,,
0.20000000000000004,,,,,,,
,,,,,,0.0,
,,,,,,1.0,
0.2,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
0.0,,,,,,,
,,,,,,,0.14375
0.125,,,,,,,
0.125,,,,,,,
0.056249999999999994,,,,,,,
0.056249999999999994,,,,,,,
,,,,,0.18010204081632653,,
,,,,,0.14616402116402116,,
,,,0.09,,,,
,,,0.1125,,,,
-0.125,,,,,,,
-0.125,,,,,,,
-0.04374999999999998,,,,,,,
-0.04374999999999998,,,,,,,
0.23358630952380952,,,,,,,
0.03222222222222223,,,,,,,
,,0.3833333333333333,,,,,
,,0.4222222222222222,,,,,
,,,,0.4222222222222222,,,
,,,,0.48333333333333334,,,
,,,,-0.006249999999999999,,,
,,,,0.16999999999999998,,,
,,,0.13999999999999999,,,,
,,0.13999999999999999,,,,,
,,,0.20000000000000004,,,,
,,0.20000000000000004,,,,,
0.20000000000000004,,,,,,,
,,,,,,0.0,
,,,,,,1.0,
0.2,,,,,,,
